name,mass,orbital_period,star_mass,semi_major_axis,eccentricity,inclination,detection_type,cluster_name,distance_to_center_pc,half_number_radius_pc
K2-102 b,,9.915615,0.77,,0.1,89.0,PT,NGC 2632,0.83,3.24
K2-33 b,3.7,5.424865,0.56,0.0409,0.0,89.1,PT,OCSN 100,0.32,1.06
HD 1160 b,20.0,,,80.0,,,IM,HSC 749,6.7,16.98
AB Aur b,9.0,,2.4,93.9,0.4,42.6,IM,Theia 54,2.7,5.17
TAP 26 b,1.73,10.91,1.04,0.0975,,,RV,HSC 1340,8.6,16.38
K2-104 b,,1.974238,0.43,0.023,0.09,88.0,PT,NGC 2632,2.27,3.24
Cl Tau b,11.6,8.9891,0.9,,0.25,50.5,RV,CWNU 1129,3.76,5.28
K2-101 b,,14.677286,0.8,,0.1,89.4,PT,NGC 2632,2.39,3.24
HD 284149 b,32.0,,1.14,400.0,,,IM,HSC 1340,12.28,16.38
TOI-1227 b,,27.36397,0.17,0.0886,,88.571,RV,HSC 2523,0.99,1.17
K2-100 b,,1.673833,1.23,0.0296,0.24,85.1,PT,NGC 2632,3.18,3.24
V1298 Tau b,0.076,24.14041,1.1,0.1716,0.29,89.052,PT,HSC 1340,16.52,16.38
V1298 Tau e,0.66,46.768131,1.1,0.2667,0.57,89.195,PT,HSC 1340,16.52,16.38
V1298 Tau d,0.113,12.40214,1.1,0.1101,0.21,89.04,PT,HSC 1340,16.52,16.38
V1298 Tau c,0.0623,8.24872,1.1,0.0839,0.43,88.49,PT,HSC 1340,16.52,16.38
CT Cha b,17.0,,,440.0,,,IM,Chamaleon I,1.96,1.9
EPIC 219388192 b,36.0,5.292569,0.99,0.0593,0.1893,89.63,PT,Ruprecht 147,3.7,3.41
LKCA 15 b,6.0,40000.0,0.97,15.7,,,IM,CWNU 1129,6.91,5.28
LkCa 15 c,,,0.97,18.6,,50.0,IM,CWNU 1129,6.91,5.28
eps Tau b,7.34,594.9,2.7,1.9,0.151,,RV,Melotte 25,4.58,3.47
CHXR 73 b,12.0,,0.35,200.0,,,IM,Chamaleon I,2.54,1.9
FU Tau b,15.0,,0.05,800.0,,,IM,Theia 7,5.57,3.49
K2-25 b,0.0771,3.484552,0.29,,0.27,88.3,PT,Melotte 25,5.86,3.47
K2-95 b,1.67,10.134016,0.44,0.0696,0.16,89.25,PT,NGC 2632,5.66,3.24
51 Eri b,4.1,10260.0,1.75,11.1,0.49,136.0,IM,FSR 1017,8.0,4.36
TOI-2048 b,,13.79,0.83,0.19,0.13,89.41,PT,HSC 759,29.82,15.83
RIK 72 b,56.1,97.84,0.439,,0.131,,PT,OCSN 98,2.39,1.25
DH Tau b,11.0,,0.37,330.0,,,IM,Theia 7,6.67,3.49
HD 285507 b,0.917,6.0962,0.734,0.0729,0.023,,RV,Melotte 25,6.68,3.47
K2-231 b,0.0227,13.841901,1.01,,,88.6,PT,Ruprecht 147,6.78,3.41
K2-103 b,,21.169861,0.66,0.131,0.06,89.73,PT,NGC 2632,6.51,3.24
K2-264 c,,19.660302,0.5,0.11283,0.0,89.38,PT,NGC 2632,6.69,3.24
K2-264 b,,5.840002,0.5,0.05023,0.0,89.01,PT,NGC 2632,6.69,3.24
AF Lep b,2.8,8145.0,1.2,8.2,0.04,55.0,IM,FSR 1017,9.19,4.36
PPL 15 b,60.0,5.825,0.07,0.02,0.42,50.0,RV,Melotte 22,5.89,2.7
ROXs 12 b,16.0,,0.87,210.0,,,IM,HSC 2919,3.36,1.52
HII 1348 b,59.0,,,138.0,,,IM,Melotte 22,7.45,2.7
HIP 21152 b,24.0,21550.0,1.44,17.0,0.36,95.3,IM,Melotte 25,10.18,3.47
WD 0837+185 B,30.0,0.175,0.798,0.006,,,RV,NGC 2632,10.21,3.24
K2-136 b,,7.975292,0.74,,0.1,89.3,PT,Melotte 25,12.18,3.47
K2-136 c,,17.307137,0.74,,0.13,89.6,PT,Melotte 25,12.18,3.47
K2-136 d,,25.575065,0.74,,0.14,89.4,PT,Melotte 25,12.18,3.47
GSC 6214-210 b,17.0,,0.6,320.0,,,IM,CWNU 1143,12.23,3.09
